Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Queens West,QW06,8,2017,February,45.7,29.9,70.2,126.9
Queens West,QW09,8,2017,February,45.3,38.7,74.7,185.6
Staten Island,SI01,8,2017,February,43.3,36.0,74.5,157.6
Staten Island,SI02,8,2017,February,45.6,40.8,74.5,170.8
Staten Island,SI03,8,2017,February,46.9,43.4,77.7,179.1
Bronx,BX02,7,2016,January,34.3,32.7,52.1,144.0
Brooklyn North,BKN01,8,2018,February,34.7,46.9,46.8,141.0
Brooklyn North,BKN02,8,2018,February,41.7,32.4,59.0,122.0
Brooklyn North,BKN03,8,2018,February,29.0,34.7,46.0,113.1
Brooklyn North,BKN04,8,2018,February,34.4,36.2,68.0,140.4
Brooklyn North,BKN05,8,2018,February,25.8,24.9,44.8,98.4
Brooklyn North,BKN08,8,2018,February,37.9,48.0,60.7,158.7
Brooklyn North,BKN09,8,2018,February,31.1,32.2,45.9,109.5
Brooklyn North,BKN16,8,2018,February,22.3,22.9,35.3,79.6
Brooklyn North,BKN17,8,2018,February,33.1,27.7,61.2,118.6
Brooklyn South,BKS06,8,2018,February,57.1,47.1,83.3,196.8
Brooklyn South,BKS07,8,2018,February,46.4,43.6,73.1,174.7
Brooklyn South,BKS10,8,2018,February,50.2,54.2,80.2,207.6
Brooklyn South,BKS11,8,2018,February,42.6,44.6,65.6,160.9
Brooklyn South,BKS12,8,2018,February,35.3,50.4,45.9,143.6
Brooklyn South,BKS13,8,2018,February,34.1,44.4,49.0,139.0
Brooklyn South,BKS14,8,2018,February,35.6,33.4,52.2,119.9
Brooklyn South,BKS15,8,2018,February,42.3,47.4,63.6,158.9
Brooklyn South,BKS18,8,2018,February,37.0,31.9,64.4,127.4
Bronx,BX01,8,2018,February,18.4,20.1,25.2,67.7
Bronx,BX02,8,2018,February,30.1,32.8,53.9,120.7
Bronx,BX03,8,2018,February,24.1,25.7,36.7,92.5
Bronx,BX04,8,2018,February,27.8,29.9,47.2,109.4
Bronx,BX05,8,2018,February,27.7,27.4,45.9,109.4
Bronx,BX06,8,2018,February,33.5,38.6,44.1,134.9
Bronx,BX07,8,2018,February,33.0,35.7,58.4,135.9
Bronx,BX08,8,2018,February,44.2,38.9,77.5,160.9
Bronx,BX09,8,2018,February,24.5,23.2,42.6,92.3
Bronx,BX10,8,2018,February,42.2,41.9,69.4,158.8
Bronx,BX11,8,2018,February,35.7,34.3,55.5,125.4
Bronx,BX12,8,2018,February,40.3,33.6,74.5,143.3
Manhattan,MN01,8,2018,February,52.6,43.3,67.5,155.2
Manhattan,MN02,8,2018,February,51.2,37.5,78.1,148.1
Manhattan,MN03,8,2018,February,33.7,42.5,43.7,137.0
Manhattan,MN04,8,2018,February,46.3,31.4,72.3,128.6
Manhattan,MN05,8,2018,February,44.0,31.4,60.1,119.7
Manhattan,MN06,8,2018,February,47.6,33.3,71.6,132.3
Manhattan,MN07,8,2018,February,53.8,41.7,77.2,160.3
Manhattan,MN08,8,2018,February,52.3,40.7,75.7,154.1
Manhattan,MN09,8,2018,February,39.4,53.6,49.5,164.2
Manhattan,MN10,8,2018,February,34.1,38.2,51.9,139.6
Manhattan,MN11,8,2018,February,28.1,38.4,31.3,111.8
Manhattan,MN12,8,2018,February,37.9,45.4,56.1,161.2
Queens East,QE07,8,2018,February,44.3,48.4,67.8,166.2
Queens East,QE08,8,2018,February,45.3,34.0,66.6,136.7
Queens East,QE10,8,2018,February,45.7,34.2,86.5,167.4
Queens East,QE11,8,2018,February,55.1,52.8,90.1,217.4
Queens East,QE12,8,2018,February,38.1,36.8,79.2,165.2
Queens East,QE13,8,2018,February,44.5,32.0,95.1,165.7
Queens East,QE14,8,2018,February,35.7,33.9,52.1,125.8
Queens West,QW01,8,2018,February,49.0,52.5,86.9,206.6
Queens West,QW02,8,2018,February,45.1,50.5,74.1,173.0
Queens West,QW03,8,2018,February,34.9,30.3,62.2,127.4
Queens West,QW04,8,2018,February,35.5,33.2,61.9,129.9
Queens West,QW05,8,2018,February,50.7,45.4,87.2,209.2
Queens West,QW06,8,2018,February,45.8,31.9,69.8,126.0
Queens West,QW09,8,2018,February,45.8,40.8,78.0,164.4
Staten Island,SI01,8,2018,February,42.5,37.3,71.0,152.4
Staten Island,SI02,8,2018,February,44.8,42.4,74.3,163.4
Staten Island,SI03,8,2018,February,45.6,44.2,78.0,169.0
Brooklyn North,BKN01,7,2016,January,37.6,40.5,42.4,160.0
Brooklyn North,BKN02,7,2016,January,45.5,28.2,50.0,146.2
Brooklyn North,BKN03,7,2016,January,32.2,29.0,36.3,133.1
Brooklyn North,BKN04,7,2016,January,37.5,30.3,55.0,161.9
Brooklyn North,BKN05,7,2016,January,28.1,21.1,35.9,110.5
Brooklyn North,BKN08,7,2016,January,40.6,36.1,46.3,178.1
Brooklyn North,BKN09,7,2016,January,32.8,27.8,38.9,119.1
Brooklyn North,BKN16,7,2016,January,25.4,21.2,31.4,97.9
Brooklyn North,BKN17,7,2016,January,36.4,25.3,52.9,138.2
Brooklyn South,BKS06,7,2016,January,60.3,41.3,75.0,219.8
Brooklyn South,BKS07,7,2016,January,48.5,36.4,59.7,206.9
Brooklyn South,BKS10,7,2016,January,52.9,45.9,65.1,228.4
Brooklyn South,BKS11,7,2016,January,44.5,38.0,53.8,188.2
Brooklyn South,BKS12,7,2016,January,36.5,42.4,35.9,158.7
Brooklyn South,BKS13,7,2016,January,35.7,38.5,44.7,155.0
Brooklyn South,BKS14,7,2016,January,37.1,25.2,44.3,130.9
Brooklyn South,BKS15,7,2016,January,44.4,40.3,51.9,183.5
Brooklyn South,BKS18,7,2016,January,40.3,28.4,54.7,148.5
Bronx,BX01,7,2016,January,20.3,16.9,20.4,76.7
Bronx,BX03,7,2016,January,25.2,19.8,29.5,100.2
Bronx,BX04,7,2016,January,30.7,25.1,35.7,128.3
Bronx,BX05,7,2016,January,30.6,24.4,43.2,126.5
Bronx,BX06,7,2016,January,33.6,29.8,31.6,138.2
Bronx,BX07,7,2016,January,35.6,29.0,49.8,154.3
Bronx,BX08,7,2016,January,46.0,35.0,64.3,178.1
Bronx,BX09,7,2016,January,27.6,20.8,36.0,108.9
Bronx,BX10,7,2016,January,45.1,38.5,62.3,185.5
Bronx,BX11,7,2016,January,38.3,30.1,48.8,148.7
Bronx,BX12,7,2016,January,42.4,29.4,64.2,174.4
Manhattan,MN01,7,2016,January,55.6,42.9,66.2,172.6
Manhattan,MN02,7,2016,January,54.3,34.3,68.0,168.8
Manhattan,MN03,7,2016,January,37.2,43.2,39.8,155.7
Manhattan,MN04,7,2016,January,50.5,33.6,74.8,148.1
Manhattan,MN05,7,2016,January,47.3,31.1,56.9,133.5
Manhattan,MN06,7,2016,January,50.9,34.8,72.1,147.7
Manhattan,MN07,7,2016,January,55.3,39.0,67.8,170.0
Manhattan,MN08,7,2016,January,54.8,38.8,67.3,167.8
Manhattan,MN09,7,2016,January,43.3,58.9,51.4,192.3
Manhattan,MN10,7,2016,January,38.8,38.8,53.7,169.7
Manhattan,MN11,7,2016,January,30.6,37.6,29.5,125.0
Manhattan,MN12,7,2016,January,40.0,42.7,56.7,175.9
Queens East,QE07,7,2016,January,46.5,45.3,59.7,196.0
Queens East,QE08,7,2016,January,41.3,28.1,47.2,128.8
Queens East,QE10,7,2016,January,50.0,35.2,75.3,188.7
Queens East,QE11,7,2016,January,54.7,47.2,75.8,238.9
Queens East,QE12,7,2016,January,38.2,34.8,62.0,170.3
Queens East,QE13,7,2016,January,45.4,33.6,74.3,173.0
Queens East,QE14,7,2016,January,33.3,28.4,35.7,120.5
Queens West,QW01,7,2016,January,47.1,45.5,68.3,197.8
Queens West,QW02,7,2016,January,50.0,51.0,71.8,215.5
Queens West,QW03,7,2016,January,39.3,32.5,57.5,150.7
Queens West,QW04,7,2016,January,37.5,31.0,48.7,143.9
Queens West,QW05,7,2016,January,53.3,44.7,75.8,232.9
Queens West,QW06,7,2016,January,49.1,30.6,67.7,142.6
Queens West,QW09,7,2016,January,48.7,40.9,69.2,211.0
Staten Island,SI01,7,2016,January,47.1,34.6,65.3,178.8
Staten Island,SI02,7,2016,January,48.2,37.7,67.6,188.0
Staten Island,SI03,7,2016,January,50.5,41.5,73.8,201.5
Brooklyn North,BKN01,7,2017,January,36.9,48.8,49.7,151.7
Brooklyn North,BKN02,7,2017,January,44.2,33.9,57.3,134.0
Brooklyn North,BKN03,7,2017,January,30.9,36.5,44.3,121.7
Brooklyn North,BKN04,7,2017,January,36.7,37.6,67.2,153.1
Brooklyn North,BKN05,7,2017,January,27.3,26.6,45.7,105.0
Brooklyn North,BKN08,7,2017,January,39.9,47.8,61.8,166.7
Brooklyn North,BKN09,7,2017,January,32.7,31.2,43.7,113.8
Brooklyn North,BKN16,7,2017,January,24.4,23.2,36.5,92.2
Brooklyn North,BKN17,7,2017,January,35.0,28.6,62.9,127.5
Brooklyn South,BKS06,7,2017,January,59.7,47.8,86.0,202.4
Brooklyn South,BKS07,7,2017,January,47.3,46.0,72.2,186.5
Brooklyn South,BKS10,7,2017,January,51.8,56.5,78.2,209.2
Brooklyn South,BKS11,7,2017,January,43.4,47.5,65.6,163.5
Brooklyn South,BKS12,7,2017,January,35.6,52.2,43.9,147.2
Brooklyn South,BKS13,7,2017,January,35.4,44.1,52.5,147.5
Brooklyn South,BKS14,7,2017,January,36.1,33.5,55.2,122.4
Brooklyn South,BKS15,7,2017,January,43.3,49.2,62.7,170.1
Brooklyn South,BKS18,7,2017,January,38.8,34.5,64.8,133.9
Bronx,BX01,7,2017,January,19.3,20.6,26.3,70.9
Bronx,BX02,7,2017,January,34.0,33.3,55.3,140.2
Bronx,BX03,7,2017,January,24.5,26.4,33.9,94.0
Bronx,BX04,7,2017,January,29.4,30.0,47.5,117.1
Bronx,BX05,7,2017,January,29.4,28.3,52.1,116.6
Bronx,BX06,7,2017,January,32.6,34.1,42.5,126.6
Bronx,BX07,7,2017,January,34.8,36.5,60.5,144.7
Bronx,BX08,7,2017,January,46.0,41.5,80.6,169.2
Bronx,BX09,7,2017,January,26.3,23.6,43.3,98.6
Bronx,BX10,7,2017,January,43.9,43.1,67.5,170.6
Bronx,BX11,7,2017,January,37.0,33.3,57.6,137.6
Bronx,BX12,7,2017,January,41.5,35.3,75.9,161.8
Manhattan,MN01,7,2017,January,55.0,44.3,71.0,166.1
Manhattan,MN02,7,2017,January,54.9,41.7,77.1,161.0
Manhattan,MN03,7,2017,January,36.7,45.3,44.0,151.2
Manhattan,MN04,7,2017,January,49.7,33.6,74.5,141.2
Manhattan,MN05,7,2017,January,46.6,32.9,59.6,127.2
Manhattan,MN06,7,2017,January,50.4,34.2,71.0,144.5
Manhattan,MN07,7,2017,January,55.3,42.2,77.3,164.4
Manhattan,MN08,7,2017,January,54.6,41.1,73.1,160.0
Manhattan,MN09,7,2017,January,42.8,57.4,48.1,184.7
Manhattan,MN10,7,2017,January,37.3,40.7,55.4,157.9
Manhattan,MN11,7,2017,January,29.6,42.7,31.7,115.8
Manhattan,MN12,7,2017,January,39.3,47.0,58.8,168.4
Queens East,QE07,7,2017,January,45.2,49.3,66.3,181.8
Queens East,QE08,7,2017,January,40.0,30.8,54.3,119.4
Queens East,QE10,7,2017,January,48.0,38.3,82.7,174.5
Queens East,QE11,7,2017,January,55.1,53.8,83.0,202.6
Queens East,QE12,7,2017,January,35.7,35.8,68.0,150.6
Queens East,QE13,7,2017,January,43.7,36.1,87.1,157.6
Queens East,QE14,7,2017,January,32.0,31.2,39.7,111.5
Queens West,QW01,7,2017,January,45.5,49.3,78.0,179.9
Queens West,QW02,7,2017,January,48.2,51.0,75.6,198.5
Queens West,QW03,7,2017,January,37.3,32.8,63.3,138.7
Queens West,QW04,7,2017,January,37.0,34.7,61.5,136.8
Queens West,QW05,7,2017,January,53.3,50.3,89.3,214.7
Queens West,QW06,7,2017,January,47.7,32.4,73.1,133.2
Queens West,QW09,7,2017,January,47.0,43.5,80.0,190.0
Staten Island,SI01,7,2017,January,45.4,39.8,75.6,164.2
Staten Island,SI02,7,2017,January,47.5,44.7,76.6,175.8
Staten Island,SI03,7,2017,January,49.0,47.2,79.1,186.0
Brooklyn North,BKN01,7,2018,January,32.7,47.0,47.0,125.9
Brooklyn North,BKN02,7,2018,January,40.2,35.4,59.6,108.7
Brooklyn North,BKN03,7,2018,January,26.6,36.4,47.2,99.0
Brooklyn North,BKN04,7,2018,January,32.2,36.7,69.2,124.0
Brooklyn North,BKN05,7,2018,January,23.8,26.6,47.8,86.8
Brooklyn North,BKN08,7,2018,January,35.7,46.7,61.2,137.3
Brooklyn North,BKN09,7,2018,January,28.8,31.8,47.2,97.0
Brooklyn North,BKN16,7,2018,January,20.6,20.9,37.5,70.6
Brooklyn North,BKN17,7,2018,January,31.5,29.9,68.3,107.4
Brooklyn South,BKS06,7,2018,January,54.5,47.2,85.0,167.5
Brooklyn South,BKS07,7,2018,January,43.1,45.1,75.8,147.3
Brooklyn South,BKS10,7,2018,January,47.4,54.1,84.8,180.2
Brooklyn South,BKS11,7,2018,January,39.8,45.5,69.5,139.8
Brooklyn South,BKS12,7,2018,January,32.1,50.9,47.3,122.7
Brooklyn South,BKS13,7,2018,January,31.2,43.8,48.9,120.4
Brooklyn South,BKS14,7,2018,January,32.5,33.2,56.3,101.6
Brooklyn South,BKS15,7,2018,January,39.6,47.8,67.0,137.3
Brooklyn South,BKS18,7,2018,January,34.9,32.7,70.5,111.9
Bronx,BX01,7,2018,January,17.2,22.3,26.6,60.0
Bronx,BX02,7,2018,January,29.1,29.9,49.4,108.8
Bronx,BX03,7,2018,January,21.5,26.6,39.1,76.7
Bronx,BX04,7,2018,January,25.7,30.3,49.0,93.6
Bronx,BX05,7,2018,January,25.5,27.3,49.0,95.5
Bronx,BX06,7,2018,January,29.1,34.8,44.1,106.2
Bronx,BX07,7,2018,January,31.2,36.7,63.2,120.9
Bronx,BX08,7,2018,January,41.5,40.5,84.7,139.0
Bronx,BX09,7,2018,January,23.1,23.7,45.5,82.5
Bronx,BX10,7,2018,January,40.4,43.3,72.6,141.3
Bronx,BX11,7,2018,January,33.7,35.3,58.0,109.8
Bronx,BX12,7,2018,January,37.9,35.4,79.4,126.2
Manhattan,MN01,7,2018,January,49.4,43.3,70.6,132.7
Manhattan,MN02,7,2018,January,49.4,38.3,82.2,130.7
Manhattan,MN03,7,2018,January,32.5,44.2,45.1,125.4
Manhattan,MN04,7,2018,January,43.7,32.1,71.9,114.1
Manhattan,MN05,7,2018,January,41.6,30.5,61.7,105.1
Manhattan,MN06,7,2018,January,45.5,32.9,73.5,119.4
Manhattan,MN07,7,2018,January,50.8,41.0,80.9,138.2
Manhattan,MN08,7,2018,January,50.4,40.6,79.8,137.1
Manhattan,MN09,7,2018,January,39.1,55.1,48.9,158.6
Manhattan,MN10,7,2018,January,33.2,40.7,55.5,127.2
Manhattan,MN11,7,2018,January,25.9,39.1,30.9,97.0
Manhattan,MN12,7,2018,January,35.4,45.1,58.2,141.2
Queens East,QE07,7,2018,January,41.9,49.2,69.8,145.7
Queens East,QE08,7,2018,January,40.4,32.4,62.6,108.2
Queens East,QE10,7,2018,January,44.3,36.4,88.1,152.8
Queens East,QE11,7,2018,January,52.2,54.0,90.0,186.1
Queens East,QE12,7,2018,January,34.7,38.4,78.3,140.8
Queens East,QE13,7,2018,January,41.2,33.9,95.3,141.7
Queens East,QE14,7,2018,January,32.3,32.4,48.3,105.1
Queens West,QW01,7,2018,January,44.6,50.8,86.1,170.0
Queens West,QW02,7,2018,January,43.9,51.2,76.3,159.6
Queens West,QW03,7,2018,January,33.1,31.0,65.9,114.3
Queens West,QW04,7,2018,January,33.3,34.3,63.5,114.3
Queens West,QW05,7,2018,January,47.9,47.4,88.0,180.1
Queens West,QW06,7,2018,January,43.7,32.0,73.1,113.0
Queens West,QW09,7,2018,January,43.6,42.1,81.1,148.5
Staten Island,SI01,7,2018,January,41.2,37.9,77.1,136.3
Staten Island,SI02,7,2018,January,43.1,43.3,76.6,144.0
Staten Island,SI03,7,2018,January,44.4,47.7,83.1,152.4
Brooklyn North,BKN01,1,2016,July,39.0,44.0,43.2,165.2
Brooklyn North,BKN02,1,2016,July,42.6,30.2,49.8,135.0
Brooklyn North,BKN03,1,2016,July,30.2,29.0,32.8,119.0
Brooklyn North,BKN04,1,2016,July,35.4,30.6,46.4,146.9
Brooklyn North,BKN05,1,2016,July,26.8,23.5,33.0,101.7
Brooklyn North,BKN08,1,2016,July,37.3,39.7,45.0,156.7
Brooklyn North,BKN09,1,2016,July,31.0,27.7,38.8,116.6
Brooklyn North,BKN16,1,2016,July,25.0,20.6,27.0,94.1
Brooklyn North,BKN17,1,2016,July,34.4,27.8,51.9,133.3
Brooklyn South,BKS06,1,2016,July,55.3,42.2,75.1,193.6
Brooklyn South,BKS07,1,2016,July,46.6,46.7,61.2,197.4
Brooklyn South,BKS10,1,2016,July,51.2,57.2,63.0,227.6
Brooklyn South,BKS11,1,2016,July,43.5,47.4,52.7,186.0
Brooklyn South,BKS12,1,2016,July,36.9,49.7,35.0,153.8
Brooklyn South,BKS13,1,2016,July,35.0,36.8,43.4,150.7
Brooklyn South,BKS14,1,2016,July,35.0,30.4,47.4,129.2
Brooklyn South,BKS15,1,2016,July,43.2,46.7,53.0,183.9
Brooklyn South,BKS18,1,2016,July,37.2,32.3,56.7,148.2
Bronx,BX01,1,2016,July,19.1,17.1,21.6,71.2
Bronx,BX02,1,2016,July,32.6,30.0,45.3,136.8
Bronx,BX03,1,2016,July,25.6,23.8,31.5,100.7
Bronx,BX04,1,2016,July,29.4,26.3,38.0,120.3
Bronx,BX05,1,2016,July,30.8,26.2,46.3,127.1
Bronx,BX06,1,2016,July,31.1,34.1,36.7,128.7
Bronx,BX07,1,2016,July,35.2,32.1,52.0,151.7
Bronx,BX08,1,2016,July,46.4,41.8,73.4,190.0
Bronx,BX09,1,2016,July,26.5,22.6,32.1,100.5
Bronx,BX10,1,2016,July,44.1,41.9,59.4,186.7
Bronx,BX11,1,2016,July,37.0,35.0,47.5,147.4
Bronx,BX12,1,2016,July,41.5,33.6,62.9,174.6
Manhattan,MN01,1,2016,July,54.1,43.3,60.4,170.5
Manhattan,MN02,1,2016,July,50.1,34.6,65.0,152.1
Manhattan,MN03,1,2016,July,33.5,39.9,39.5,140.5
Manhattan,MN04,1,2016,July,48.5,30.9,66.1,145.0
Manhattan,MN05,1,2016,July,42.2,27.8,47.7,117.9
Manhattan,MN06,1,2016,July,48.4,32.2,62.4,144.6
Manhattan,MN07,1,2016,July,52.6,39.1,64.4,163.5
Manhattan,MN08,1,2016,July,52.5,39.6,64.0,163.1
Manhattan,MN09,1,2016,July,39.9,51.3,43.7,180.3
Manhattan,MN10,1,2016,July,35.1,33.9,48.2,150.1
Manhattan,MN11,1,2016,July,30.0,37.6,29.5,122.3
Manhattan,MN12,1,2016,July,37.9,43.5,54.4,166.0
Queens East,QE07,1,2016,July,42.3,47.9,51.3,177.2
Queens East,QE08,1,2016,July,38.6,28.3,44.2,116.4
Queens East,QE10,1,2016,July,43.2,36.3,64.4,186.1
Queens East,QE11,1,2016,July,49.7,55.0,71.1,227.8
Queens East,QE12,1,2016,July,34.9,34.6,50.0,153.8
Queens East,QE13,1,2016,July,42.9,34.2,71.4,182.6
Queens East,QE14,1,2016,July,31.0,29.0,33.8,116.8
Queens West,QW01,1,2016,July,44.6,48.8,62.4,190.9
Queens West,QW02,1,2016,July,46.0,50.4,60.2,202.0
Queens West,QW03,1,2016,July,35.5,32.0,48.7,139.0
Queens West,QW04,1,2016,July,35.5,34.6,44.2,139.1
Queens West,QW05,1,2016,July,50.4,49.5,73.0,221.8
Queens West,QW06,1,2016,July,46.4,30.7,59.6,134.9
Queens West,QW09,1,2016,July,43.3,40.9,62.6,184.4
Staten Island,SI01,1,2016,July,45.7,39.9,67.4,192.2
Staten Island,SI02,1,2016,July,44.2,45.0,68.9,188.0
Staten Island,SI03,1,2016,July,46.1,47.4,73.6,200.4
Brooklyn North,BKN01,1,2017,July,44.7,45.4,46.4,208.4
Brooklyn North,BKN02,1,2017,July,48.7,30.4,53.5,171.3
Brooklyn North,BKN03,1,2017,July,35.6,31.6,37.5,149.8
Brooklyn North,BKN04,1,2017,July,41.3,32.9,54.1,184.6
Brooklyn North,BKN05,1,2017,July,31.1,23.7,36.6,124.8
Brooklyn North,BKN08,1,2017,July,43.3,44.4,49.0,197.9
Brooklyn North,BKN09,1,2017,July,36.8,30.6,38.9,150.0
Brooklyn North,BKN16,1,2017,July,29.3,22.0,29.6,116.1
Brooklyn North,BKN17,1,2017,July,39.0,27.8,54.2,161.8
Brooklyn South,BKS06,1,2017,July,62.5,43.4,82.2,252.6
Brooklyn South,BKS07,1,2017,July,51.8,46.1,62.8,245.6
Brooklyn South,BKS10,1,2017,July,57.1,56.4,69.7,286.7
Brooklyn South,BKS11,1,2017,July,49.0,47.5,57.5,230.8
Brooklyn South,BKS12,1,2017,July,42.5,49.9,38.9,192.8
Brooklyn South,BKS13,1,2017,July,40.8,37.6,56.5,189.0
Brooklyn South,BKS14,1,2017,July,40.6,31.8,54.4,161.5
Brooklyn South,BKS15,1,2017,July,48.9,47.3,56.1,230.5
Brooklyn South,BKS18,1,2017,July,42.4,35.3,59.7,181.8
Bronx,BX01,1,2017,July,22.9,17.8,25.4,88.9
Bronx,BX02,1,2017,July,37.7,29.5,53.7,169.8
Bronx,BX03,1,2017,July,29.9,25.4,38.9,123.4
Bronx,BX04,1,2017,July,34.1,26.9,45.3,147.7
Bronx,BX05,1,2017,July,35.6,25.7,52.9,156.1
Bronx,BX06,1,2017,July,36.4,34.6,45.3,160.3
Bronx,BX07,1,2017,July,40.3,31.3,59.3,186.8
Bronx,BX08,1,2017,July,51.7,41.4,78.1,234.5
Bronx,BX09,1,2017,July,31.1,23.4,37.0,124.6
Bronx,BX10,1,2017,July,49.9,43.0,62.0,233.9
Bronx,BX11,1,2017,July,41.9,34.9,49.5,181.0
Bronx,BX12,1,2017,July,47.0,33.9,68.4,216.2
Manhattan,MN01,1,2017,July,60.0,49.7,57.8,211.7
Manhattan,MN02,1,2017,July,56.6,39.0,70.0,191.7
Manhattan,MN03,1,2017,July,39.1,40.4,42.5,178.1
Manhattan,MN04,1,2017,July,55.0,32.8,72.7,184.1
Manhattan,MN05,1,2017,July,48.3,30.0,49.5,148.4
Manhattan,MN06,1,2017,July,54.6,34.5,65.4,182.3
Manhattan,MN07,1,2017,July,59.2,41.5,70.2,209.0
Manhattan,MN08,1,2017,July,59.5,44.1,69.5,210.2
Manhattan,MN09,1,2017,July,45.8,67.4,46.6,218.7
Manhattan,MN10,1,2017,July,40.5,37.7,54.5,186.2
Manhattan,MN11,1,2017,July,34.9,44.8,31.8,150.3
Manhattan,MN12,1,2017,July,43.9,43.6,59.6,210.5
Queens East,QE07,1,2017,July,48.1,47.1,56.3,223.2
Queens East,QE08,1,2017,July,44.2,27.5,48.8,145.9
Queens East,QE10,1,2017,July,50.4,36.4,78.4,223.4
Queens East,QE11,1,2017,July,55.5,54.9,75.4,285.6
Queens East,QE12,1,2017,July,40.0,33.5,57.5,188.9
Queens East,QE13,1,2017,July,49.1,34.8,82.4,230.9
Queens East,QE14,1,2017,July,36.4,29.2,39.1,148.0
Queens West,QW01,1,2017,July,51.1,50.4,69.6,243.9
Queens West,QW02,1,2017,July,51.6,50.3,67.0,250.4
Queens West,QW03,1,2017,July,40.6,31.6,53.9,171.2
Queens West,QW04,1,2017,July,41.8,35.0,51.3,179.3
Queens West,QW05,1,2017,July,56.2,48.2,81.4,282.8
Queens West,QW06,1,2017,July,52.3,30.7,66.0,169.1
Queens West,QW09,1,2017,July,49.2,40.1,71.3,231.3
Staten Island,SI01,1,2017,July,49.9,38.6,71.5,229.5
Staten Island,SI02,1,2017,July,49.3,43.8,73.1,230.0
Staten Island,SI03,1,2017,July,51.6,46.8,80.8,247.8
Brooklyn North,BKN01,1,2018,July,43.8,48.1,46.9,196.6
Brooklyn North,BKN02,1,2018,July,47.4,32.9,53.3,157.0
Brooklyn North,BKN03,1,2018,July,34.5,32.6,39.6,141.9
Brooklyn North,BKN04,1,2018,July,40.5,33.9,56.4,177.8
Brooklyn North,BKN05,1,2018,July,30.8,23.3,37.8,122.3
Brooklyn North,BKN08,1,2018,July,42.7,45.7,49.5,192.1
Brooklyn North,BKN09,1,2018,July,35.6,32.2,39.8,141.9
Brooklyn North,BKN16,1,2018,July,28.2,22.5,30.8,105.4
Brooklyn North,BKN17,1,2018,July,38.7,28.0,54.6,159.8
Brooklyn South,BKS06,1,2018,July,62.1,45.1,78.3,249.1
Brooklyn South,BKS07,1,2018,July,51.7,48.7,64.4,237.9
Brooklyn South,BKS10,1,2018,July,55.9,55.0,70.4,272.0
Brooklyn South,BKS11,1,2018,July,49.4,48.4,58.7,216.5
Brooklyn South,BKS12,1,2018,July,42.9,48.8,40.0,190.2
Brooklyn South,BKS13,1,2018,July,40.6,39.6,46.9,183.7
Brooklyn South,BKS14,1,2018,July,40.1,31.9,49.8,159.4
Brooklyn South,BKS15,1,2018,July,48.9,48.7,57.3,214.9
Brooklyn South,BKS18,1,2018,July,41.9,33.2,63.0,178.1
Bronx,BX01,1,2018,July,22.7,17.6,26.3,87.8
Bronx,BX02,1,2018,July,37.6,29.0,55.8,168.7
Bronx,BX03,1,2018,July,29.4,22.9,35.7,121.2
Bronx,BX04,1,2018,July,33.9,26.8,48.5,145.6
Bronx,BX05,1,2018,July,34.7,25.2,51.4,150.4
Bronx,BX06,1,2018,July,36.3,33.2,46.7,160.1
Bronx,BX07,1,2018,July,40.4,32.5,63.0,185.9
Bronx,BX08,1,2018,July,51.5,40.4,80.0,231.8
Bronx,BX09,1,2018,July,30.9,22.8,39.6,122.9
Bronx,BX10,1,2018,July,49.3,42.6,67.7,227.5
Bronx,BX11,1,2018,July,41.4,33.3,51.5,177.2
Bronx,BX12,1,2018,July,46.4,32.6,71.5,210.8
Manhattan,MN01,1,2018,July,59.5,42.2,61.9,212.9
Manhattan,MN02,1,2018,July,57.4,36.2,72.2,200.4
Manhattan,MN03,1,2018,July,38.8,38.1,45.3,176.0
Manhattan,MN04,1,2018,July,53.5,30.1,69.9,177.0
Manhattan,MN05,1,2018,July,48.8,27.8,53.0,152.4
Manhattan,MN06,1,2018,July,54.1,31.5,67.3,179.1
Manhattan,MN07,1,2018,July,59.1,39.7,71.7,209.4
Manhattan,MN08,1,2018,July,58.9,39.4,70.1,209.5
Manhattan,MN09,1,2018,July,46.3,52.4,49.8,227.3
Manhattan,MN10,1,2018,July,40.6,35.0,57.0,186.9
Manhattan,MN11,1,2018,July,34.8,38.0,31.2,152.2
Manhattan,MN12,1,2018,July,43.3,41.4,57.0,207.6
Queens East,QE07,1,2018,July,47.5,45.4,57.8,218.0
Queens East,QE08,1,2018,July,44.4,28.4,51.2,145.7
Queens East,QE10,1,2018,July,50.0,36.7,79.7,226.6
Queens East,QE11,1,2018,July,57.3,54.4,77.5,273.4
Queens East,QE12,1,2018,July,39.6,34.0,58.4,185.3
Queens East,QE13,1,2018,July,48.0,32.1,84.9,221.3
Queens East,QE14,1,2018,July,36.5,29.3,41.6,147.6
Queens West,QW01,1,2018,July,50.1,48.6,67.7,236.5
Queens West,QW02,1,2018,July,50.6,49.8,67.1,240.1
Queens West,QW03,1,2018,July,40.4,31.2,56.5,169.4
Queens West,QW04,1,2018,July,41.6,34.6,57.0,176.9
Queens West,QW05,1,2018,July,55.8,44.7,84.5,272.0
